Date/time,,",",Major,Function,",",Process,",",Status,,",",File,",",Type,,",","not used,",Minor,"Function,","not used,",Oper,ation flags,,,,",","not used,",IRP Flags,,,,",","not used,",PID,",",Threa,"dID,",C,"PU,"
9/27/2019,31:25.9,",",0x02,IRP_MJ_CLOSE,",",svchost.exe,",",0,STATUS_SUCCESS,",",C:\Users,",",Irp,,",",",",0x00,",",",",0xFF,,,,,",",",",0x00000404,IRP_SYNCHRONOUS_API  IRP_CLOSE_OPEARTION,,,",",",",772,",",156,",",1,","
9/27/2019,31:25.9,",",0x00,IRP_MJ_CREATE,",",svchost.exe,",",0,STATUS_SUCCESS,",",C:,",",Irp,(NPP),",",",",0x00,",",",",0xFF,(SL_FORCE_ACCESS_CHECK,SL_OPEN_PAGING_FILE,SL_OPEN_TARGET_DIRECTORY,SL_CASE_SENSITIVE,"),",",",0x00000884,IRP_SYNCHRONOUS_API  IRP_CREATE_OPERATION  IRP_DEFER_IO_COMPLETION,,,",",",",772,",",156,",",1,","
9/27/2019,31:25.9,",",0x0E,IRP_MJ_DEVICE_CONTROL,",",svchost.exe,",",C01C0004,STATUS_FLT_DISALLOW_FAST_IO,",",C:,",",Fast,I/O,",",",",0x00,",",",",0xFF,,,,,",",",",0x00000000,,,,",",",",772,",",156,",",1,","
9/27/2019,31:25.9,",",0x0E,IRP_MJ_DEVICE_CONTROL,",",svchost.exe,",",0,STATUS_SUCCESS,",",C:,",",Irp,(NPP),",",",",0x00,",",",",0xFF,,,,,",",",",0x00060070,IRP_BUFFERED_IO  IRP_DEALLOCATE_BUFFER  IRP_INPUT_OPERATION  IRP_SYNCHRONOUS_PAGING,,,",",",",772,",",156,",",1,","
9/27/2019,31:25.9,",",0x0E,IRP_MJ_DEVICE_CONTROL,",",svchost.exe,",",C01C0004,STATUS_FLT_DISALLOW_FAST_IO,",",C:,",",Fast,I/O,",",",",0x00,",",",",0xFF,,,,,",",",",0x00000000,,,,",",",",772,",",156,",",1,","
9/27/2019,31:25.9,",",0x0E,IRP_MJ_DEVICE_CONTROL,",",svchost.exe,",",C0000001,STATUS_UNSUCCESSFUL,",",C:,",",Irp,(NPP),",",",",0x00,",",",",0xFF,,,,,",",",",0x00060000,,,,",",",",772,",",156,",",1,","
9/27/2019,31:25.9,",",0x12,IRP_MJ_CLEANUP,",",svchost.exe,",",0,STATUS_SUCCESS,",",C:,",",Irp,,",",",",0x00,",",",",0xCD,,,,,",",",",0x00000404,IRP_SYNCHRONOUS_API  IRP_CLOSE_OPEARTION,,,",",",",772,",",156,",",1,","
9/27/2019,31:25.9,",",0x02,IRP_MJ_CLOSE,",",svchost.exe,",",0,STATUS_SUCCESS,",",C:,",",Irp,,",",",",0x00,",",",",0xCD,,,,,",",",",0x00000404,IRP_SYNCHRONOUS_API  IRP_CLOSE_OPEARTION,,,",",",",772,",",156,",",1,","
9/27/2019,31:25.9,",",0x11,IRP_MJ_LOCK_CONTROL,",",MsMpEng.exe,",",0,STATUS_SUCCESS,",",C:\ProgramData\Microsoft\Windows Defender\Scans\mpenginedb.,"db-shm                                              ,",Fast,I/O,",",",",0x01,",",",",0xCD,,,,,",",",",0x00000000,,,,",",",",142,"0,",1940,",",1,","
9/27/2019,31:25.9,",",0x11,IRP_MJ_LOCK_CONTROL,",",MsMpEng.exe,",",0,STATUS_SUCCESS,",",C:\ProgramData\Microsoft\Windows Defender\Scans\mpenginedb.,"db-shm                                              ,",Fast,I/O,",",",",0x02,",",",",0xCD,,,,,",",",",0x00000000,,,,",",",",142,"0,",1940,",",1,","
